index,word,difficulty,category
1,der,0,"personal adjectives"
2,die,0,"personal adjectives"
3,das,0,"personal adjectives"
4,und,0,"other adjectives"
5,in,0,"other adjectives"
6,zu,0,"other adjectives"
7,den,0,"personal adjectives"
8,nicht,0,"other adjectives"
9,von,0,"other adjectives"
10,sie,0,"personal adjectives"
11,ist,0,"other verbs"
12,des,0,"personal adjectives"
13,sich,0,"personal adjectives"
14,mit,0,"other adjectives"
15,dem,0,"personal adjectives"
16,dass,0,"other adjectives"
17,er,0,"personal adjectives"
18,es,0,"personal adjectives"
19,ein,0,"personal adjectives"
20,ich,0,"personal adjectives"
21,auf,0,"other adjectives"
22,so,0,"other adjectives"
23,eine,0,"personal adjectives"
24,auch,0,"other adjectives"
25,als,0,"other adjectives"
26,an,0,"other adjectives"
27,nach,0,"other adjectives"
28,wie,0,"other adjectives"
29,im,0,"other adjectives"
30,für,0,"other adjectives"
31,man,0,"personal adjectives"
32,aber,0,"other adjectives"
33,aus,0,"other adjectives"
34,durch,0,"other adjectives"
35,wenn,0,"other adjectives"
36,nur,0,"other adjectives"
37,war,0,"other adjectives"
38,noch,0,"other adjectives"
39,werden,0,"other verbs"
40,bei,0,"other adjectives"
41,hat,0,"other verbs"
42,wir,0,"personal adjectives"
43,was,0,"other adjectives"
44,sind,0,"other verbs"
45,sein,0,"other verbs"
46,einen,0,"personal adjectives"
47,welche,0,"other adjectives"
48,lecker,0,"eat and drink"
49,oder,0,"other adjectives"
50,zur,0,"personal adjectives"
51,haben,0,"other verbs"
52,um,0,"other adjectives"
53,einer,0,"personal adjectives"
54,mir,0,"personal adjectives"
55,diese,0,"personal adjectives"
56,über,0,"other adjectives"
57,ihm,0,"personal adjectives"
58,einem,0,"personal adjectives"
59,ihr,0,"personal adjectives"
60,uns,0,"personal adjectives"
61,da,0,"other adjectives"
62,zum,0,"personal adjectives"
63,kann,0,"other verbs"
64,doch,0,"other adjectives"
65,vor,0,"other adjectives"
66,dieser,0,"personal adjectives"
67,mich,0,"personal adjectives"
68,ihn,0,"personal adjectives"
69,du,0,"personal adjectives"
70,hatte,0,"other verbs"
71,seine,0,"personal adjectives"
72,mehr,0,"other adjectives"
73,am,0,"other adjectives"
74,denn,0,"other adjectives"
75,ihnen,0,"personal adjectives"
76,seiner,0,"personal adjectives"
77,alle,0,"other adjectives"
78,wieder,0,"other adjectives"
79,meine,0,"personal adjectives"
80,Zeit,0,time
81,gegen,0,"other adjectives"
82,vom,0,"personal adjectives"
83,ganz,0,"other adjectives"
84,einzelnen,0,"other adjectives"
85,wo,0,"other adjectives"
86,muss,0,"other verbs"
87,ohne,0,"other adjectives"
88,eines,0,numbers
89,können,0,"other verbs"
90,sei,0,"other verbs"
91,ja,0,phrases
92,wurde,0,"other verbs"
93,jetzt,0,time
94,immer,0,"other adjectives"
95,seinen,0,"personal adjectives"
96,wohl,0,"other adjectives"
97,dieses,0,"personal adjectives"
98,ihren,0,"personal adjectives"
99,würde,0,"other verbs"
100,diesen,0,"personal adjectives"
101,sondern,0,"other adjectives"
102,weil,0,"other adjectives"
103,welcher,0,"personal adjectives"
104,nichts,0,"other adjectives"
105,diesem,0,"personal adjectives"
106,alles,0,"other adjectives"
107,waren,0,"other verbs"
108,will,0,"other verbs"
109,Herr,0,"humans and animals"
110,viel,0,"other adjectives"
111,mein,0,"personal adjectives"
112,also,0,"other adjectives"
113,soll,0,"other verbs"
114,worden,0,"other verbs"
115,lassen,0,"other verbs"
116,dies,0,"other adjectives"
117,machen,0,"other verbs"
118,ihrer,0,"other adjectives"
119,weiter,0,"other adjectives"
120,Leben,0,"other Nouns"
121,recht,0,"other adjectives"
122,etwas,0,"other adjectives"
123,keine,0,"other adjectives"
124,seinem,0,"personal adjectives"
125,ob,0,"other adjectives"
126,dir,0,"personal adjectives"
127,allen,0,"personal adjectives"
128,großen,0,"other adjectives"
129,Jahre,1,time
130,Weise,0,"other nouns"
131,müssen,0,"other verbs"
132,welches,0,"personal adjectives"
133,wäre,0,"other verbs"
134,erst,0,"other adjectives"
135,einmal,0,"other adjectives"
136,Mann,0,"humans and animals"
137,hätte,0,"other verbs"
138,zwei,0,numbers
139,dich,0,"personal adjectives"
140,allein,0,"other adjectives"
141,eins,0,numbers
142,drei,0,numbers
143,vier,0,numbers
144,fünf,0,numbers
145,sechs,0,numbers
146,sieben,0,numbers
147,acht,0,numbers
148,neun,0,numbers
149,zehn,0,numbers
150,elf,1,numbers
151,dreizehn,1,numbers
152,zwölf,1,numbers
153,zwanzig,1,numbers
154,einundzwanzig,1,numbers
155,dreißig,1,numbers
156,vierzig,1,numbers
157,fünfzig,1,numbers
158,sechzig,1,numbers
159,siebzig,1,numbers
160,achtzig,1,numbers
161,neunzig,1,numbers
162,hundert,1,numbers
163,zweihundert,1,numbers
164,tausend,1,numbers
165,millionen,1,numbers
166,null,1,numbers
167,minus,1,numbers
168,plus,1,numbers
169,mal,1,numbers
170,wann,0,time
171,Herren,1,"humans and animals"
172,während,0,"other adjectives"
173,Paragraph,1,"other Nouns"
174,anders,0,"other adjectives"
175,Liebe,0,emotions
176,kein,0,"other adjectives"
177,damit,0,"other adjectives"
178,gern,0,"other adjectives"
179,gar,0,"other adjectives"
180,Hand,0,"humans and animals"
181,Herrn,1,"humans and animals"
182,euch,0,"personal adjectives"
183,sollte,0,"other verbs"
184,konnte,0,"other verbs"
185,ersten,0,numbers
186,deren,0,"personal adjectives"
187,zwischen,0,"other adjectives"
188,wollen,0,"other verbs"
189,denen,0,"personal adjectives"
190,dessen,0,"personal adjectives"
191,sagen,0,"other verbs"
192,bin,0,"other verbs"
193,Menschen,0,"humans and animals"
194,gut,0,"other adjectives"
195,darauf,0,"other adjectives"
196,wurden,0,"other verbs"
197,weiß,0,"other verbs"
198,gewesen,0,"other verbs"
199,Seite,0,"other Nouns"
200,bald,0,"other adjectives"
201,weit,0,"other adjectives"
202,große,0,"other adjectives"
203,solche,0,"personal adjectives"
204,hatten,0,"other verbs"
205,eben,0,"other adjectives"
206,andern,0,"other adjectives"
207,beiden,0,numbers
208,macht,0,"other verbs"
209,sehen,0,"other verbs"
210,ganze,0,"other adjectives"
211,anderen,0,"personal adjectives"
212,lange,0,"other adjectives"
213,wer,0,"personal adjectives"
214,ihrem,0,"personal adjectives"
215,zwar,0,"other adjectives"
216,gemacht,0,"other verbs"
217,dort,0,"other adjectives"
218,kommen,0,"other verbs"
219,Welt,0,"other Nouns"
220,heute,0,time
221,Frau,0,"humans and animals"
222,werde,0,"other verbs"
223,derselben,0,"other adjectives"
224,ganzen,0,"other adjectives"
225,deutschen,0,"other adjectives"
226,lässt,1,"other verbs"
227,vielleicht,0,"other adjectives"
228,meiner,0,"personal adjectives"
229,Seide,1,materials
230,schwarz,0,colors
231,blau,0,colors
232,rot,0,colors
233,gelb,0,colors
234,grün,0,colors
235,braun,0,colors
236,violett,1,colors
237,orange,0,colors
238,grau,0,colors
239,Silber,0,materials
240,Gold,0,materials
241,rosa,1,colors
242,Kupfer,1,materials
243,Eisen,1,materials
244,Stahl,1,materials
245,Dame,1,"humans and animals"
246,Haus,0,"at home"
247,Garten,0,"at home"
248,Tür,0,"at home"
249,Fenster,1,"at home"
250,Raum,0,"at home"
251,Straße,0,"at home"
252,Stiege,1,"at home"
253,Weg,0,"at home"
254,Achtung!,0,phrases
255,Karte,1,travel
256,rechts,0,travel
257,links,0,travel
258,oben,0,"other adjectives"
259,unten,0,"other adjectives"
260,danke,0,phrases
261,bitte,0,phrases
262,"Guten Tag!",0,phrases
263,"Guten Abend!",1,phrases
264,Hallo!,0,phrases
265,"Wie gehts?",1,phrases
266,schlecht,0,"other adjectives"
267,"Auf Wiedersehen!",0,phrases
268,Tschüß!,0,phrases
269,nein,0,phrases
270,sehr,0,"other adjectives"
271,"Sprechen Sie deutsch?",1,phrases
272,"Entschuldigen Sie!",1,phrases
273,Rindfleisch,0,"eat and drink"
274,Putenfleisch,1,"eat and drink"
275,Fisch,0,"eat and drink"
276,Restaurant,0,"eat and drink"
277,Schweinefleisch,1,"eat and drink"
278,Ei,0,"eat and drink"
279,Salat,0,"eat and drink"
280,Gemüse,1,"eat and drink"
281,Kartoffel,1,"eat and drink"
282,Wasser,0,"eat and drink"
283,Mineralwasser,1,"eat and drink"
284,Eistee,1,"eat and drink"
285,Cola,1,"eat and drink"
286,Bier,1,"eat and drink"
287,Kuchen,1,"eat and drink"
288,Vorspeise,1,"eat and drink"
289,Hauptspeise,1,"eat and drink"
290,Beilage,1,"eat and drink"
291,Nachspeise,1,"eat and drink"
292,Wein,0,"eat and drink"
293,Zitrone,1,"eat and drink"
294,Apfel,0,"eat and drink"
295,Tomate,0,"eat and drink"
296,Banane,0,"eat and drink"
297,Eis,0,"eat and drink"
298,Eiscreme,0,"eat and drink"
299,Gabel,1,"eat and drink"
300,Messer,1,"eat and drink"
301,Löffel,1,"eat and drink"
302,Zunge,1,"humans and animals"
303,morgen,0,time
304,gestern,0,time
305,Soße,1,"eat and drink"
306,"in 2 Tagen",1,time
307,Tag,0,time
308,Woche,0,time
309,Monat,0,time
310,Jahr,1,time
311,Minute,0,time
312,Stunde,0,time
313,Sekunde,0,time
314,halb,1,time
315,"Wie spät ist es?",1,phrases
316,"Was ist das?",1,phrases
317,"Was kostet das?",1,phrases
318,hier,0,phrases
319,verwenden,1,"other verbs"
320,Wo?,0,phrases
321,"Ist dieser Tisch frei?",1,phrases
322,"Wo ist die Toilette?",1,phrases
323,Frage,0,"other Nouns"
324,Antwort,0,"other Nouns"
325,"Wo gibt es ...?",1,phrases
326,geradeaus,1,travel
327,"Wie heißt du?",1,phrases
328,"Eine Karte bitte",1,phrases
329,Rechnung,0,"eat and drink"
330,Herz,0,"humans and animals"
331,"ich suche",1,phrases
332,"ich möchte",1,phrases
333,"Haben Sie ...?",1,phrases
334,"Können Sie mir bitte helfen?",1,phrases
335,"Rufen Sie schnell einen Krankenwagen!",1,phrases
336,Flugzeug,0,travel
337,Auto,0,travel
338,Maschine,0,"other Nouns"
339,Strand,1,travel
340,Meer,0,travel
341,See,0,travel
342,Berg,0,travel
343,Land,0,travel
344,Wort,0,"other Nouns"
345,Schiff,0,travel
346,Gepäck,1,travel
347,Zug,0,travel
348,Motorrad,0,travel
349,Fahrrad,0,travel
350,Hotel,0,travel
351,Satz,0,"other Nouns"
352,Wohnung,1,"at home"
353,wichtig,0,"other adjectives"
354,Bus,0,travel
355,Taxi,0,travel
356,essen,0,"eat and drink"
357,gemeinsam,0,"other adjectives"
358,Arzt,1,work
359,Apotheke,1,work
360,Polizei,0,work
361,Feuerwehr,1,work
362,Bank,0,work
363,Post,0,work
364,Bankomat,0,travel
365,Cafe,0,"eat and drink"
366,Kaffee,0,"eat and drink"
367,Tee,0,"eat and drink"
368,Schuhe,0,clothes
369,T-Shirt,0,clothes
370,Kleid,1,clothes
371,Hut,0,clothes
372,Socken,0,clothes
373,Hose,0,clothes
374,Pullover,0,clothes
375,Jacke,0,clothes
376,Schal,1,clothes
377,baden,1,"other verbs"
378,Spiel,0,"free time"
379,Therme,1,travel
380,Schule,0,work
381,Sport,0,"free time"
382,Theater,0,"free time"
383,Kino,0,"free time"
384,Musik,0,"free time"
385,singen,0,"other verbs"
386,Wetter,1,weather
387,Sonne,0,weather
388,Regen,0,weather
389,Wolke,1,weather
390,Himmel,1,weather
391,Erde,0,"other Nouns"
392,Gras,0,"other Nouns"
393,heiß,0,weather
394,kalt,0,weather
395,Temperatur,0,weather
396,Grad,0,weather
397,Arm,0,"humans and animals"
398,Bein,0,"humans and animals"
399,Kopf,0,"humans and animals"
400,Bauch,1,"humans and animals"
401,Bär,0,"humans and animals"
402,Fuß,0,"humans and animals"
403,Körper,0,"humans and animals"
404,Auge,0,"humans and animals"
405,Mund,0,"humans and animals"
406,Nase,0,"humans and animals"
407,Ohr,0,"humans and animals"
408,schreiben,0,"other verbs"
409,Hals,1,"humans and animals"
410,Zahl,0,numbers
411,Foto,0,"free time"
412,Handy,0,"at home"
413,Computer,0,"at home"
414,Tisch,0,"at home"
415,Stuhl,0,"at home"
416,Fernseher,0,"at home"
417,Knopf,1,"other Nouns"
418,Mantel,1,clothes
419,Wand,0,"at home"
420,Freund,0,"humans and animals"
421,Mädchen,0,"humans and animals"
422,Junge,0,"humans and animals"
423,Stift,1,"at home"
424,Papier,1,"at home"
425,Baum,0,"other Nouns"
426,Affe,1,"humans and animals"
427,Blume,0,"other Nouns"
428,hören,0,"other verbs"
429,Kuh,0,"humans and animals"
430,Pferd,1,"humans and animals"
431,Hund,0,"humans and animals"
432,Hase,0,"humans and animals"
433,Katze,0,"humans and animals"
434,Maus,0,"humans and animals"
435,Käfer,1,"humans and animals"
436,Biene,0,"humans and animals"
437,nachts,1,time
438,tags,1,time
439,Uhr,1,time
440,Reise,1,travel
441,dumm,0,"other adjectives"
442,Platz,0,"other Nouns"
443,frei,0,"other adjectives"
444,Tankstelle,1,travel
445,denken,0,"other verbs"
446,"Wie viel kostet das?",1,phrases
447,einfach,0,"other adjectives"
448,schwierig,0,"other adjectives"
449,hin,0,"other adjectives"
450,zurück,0,"other adjectives"
451,Reparatur,0,"other Nouns"
452,kaputt,0,"other adjectives"
453,Koffer,1,travel
454,Kind,0,"humans and animals"
455,Gang,1,"at home"
456,trinken,0,"eat and drink"
457,Flughafen,0,travel
458,Bahnhof,1,travel
459,extra,0,"other adjectives"
460,Montag,0,time
461,Dienstag,0,time
462,Mittwoch,0,time
463,Donnerstag,0,time
464,Freitag,0,time
465,Samstag,0,time
466,Sonntag,0,time
467,Januar,0,time
468,Februar,0,time
469,März,0,time
470,zehnter,1,numbers
471,April,0,time
472,2021,1,time
473,Mai,0,time
474,Juni,0,time
475,Juli,0,time
476,August,0,time
477,September,0,time
478,Oktober,0,time
479,November,0,time
480,Dezember,0,time
