index,word,difficulty,category
1,the,0,"personal adjectives"
2,the,0,"personal adjectives"
3,the,0,"personal adjectives"
4,and,0,"other adjectives"
5,in,0,"other adjectives"
6,to,0,"other adjectives"
7,this,0,"personal adjectives"
8,not,0,"other adjectives"
9,from,0,"other adjectives"
10,she,0,"personal adjectives"
11,is,0,"other verbs"
12,of,0,"personal adjectives"
13,yourself,0,"personal adjectives"
14,with,0,"other adjectives"
15,him,0,"personal adjectives"
16,that,0,"other adjectives"
17,he,0,"personal adjectives"
18,it,0,"personal adjectives"
19,one,0,"personal adjectives"
20,I,0,"personal adjectives"
21,on,0,"other adjectives"
22,so,0,"other adjectives"
23,a,0,"personal adjectives"
24,too,0,"other adjectives"
25,as,0,"other adjectives"
26,at,0,"other adjectives"
27,to,0,"other adjectives"
28,how,0,"other adjectives"
29,in,0,"other adjectives"
30,for,0,"other adjectives"
31,one,0,"personal adjectives"
32,but,0,"other adjectives"
33,out,0,"other adjectives"
34,through,0,"other adjectives"
35,if,0,"other adjectives"
36,only,0,"other adjectives"
37,was,0,"other adjectives"
38,still,0,"other adjectives"
39,"will be",0,"other verbs"
40,at,0,"other adjectives"
41,has,0,"other verbs"
42,we,0,"personal adjectives"
43,which,0,"other adjectives"
44,are,0,"other verbs"
45,be,0,"other verbs"
46,a,0,"personal adjectives"
47,which,0,"other adjectives"
48,tasty,0,"eat and drink"
49,or,0,"other adjectives"
50,to,0,"personal adjectives"
51,have,0,"other verbs"
52,about,0,"other adjectives"
53,a,0,"personal adjectives"
54,me,0,"personal adjectives"
55,this,0,"personal adjectives"
56,over,0,"other adjectives"
57,him,0,"personal adjectives"
58,a,0,"personal adjectives"
59,her,0,"personal adjectives"
60,us,0,"personal adjectives"
61,there,0,"other adjectives"
62,to,0,"personal adjectives"
63,can,0,"other verbs"
64,though,0,"other adjectives"
65,"in front",0,"other adjectives"
66,this,0,"personal adjectives"
67,me,0,"personal adjectives"
68,him,0,"personal adjectives"
69,you,0,"personal adjectives"
70,had,0,"other verbs"
71,his,0,"personal adjectives"
72,more,0,"other adjectives"
73,on,0,"other adjectives"
74,because,0,"other adjectives"
75,them,0,"personal adjectives"
76,him,0,"personal adjectives"
77,all,0,"other adjectives"
78,again,0,"other adjectives"
79,my,0,"personal adjectives"
80,time,0,time
