index,word,difficulty,category
1,la,0,"personal adjectives"
2,la,0,"personal adjectives"
3,la,0,"personal adjectives"
4,y,0,"other adjectives"
5,en,0,"other adjectives"
6,a,0,"other adjectives"
7,la,0,"personal adjectives"
8,no,0,"other adjectives"
9,de,0,"other adjectives"
10,usted,0,"personal adjectives"
11,es,0,"other verbs"
12,de,0,"personal adjectives"
13,"tu misimo",0,"personal adjectives"
14,con,0,"other adjectives"
15,la,0,"personal adjectives"
16,que,0,"other adjectives"
17,el,0,"personal adjectives"
18,eso,0,"personal adjectives"
19,a,0,"personal adjectives"
20,I,0,"personal adjectives"
21,en,0,"other adjectives"
22,entonces,0,"other adjectives"
23,a,0,"personal adjectives"
24,ademas,0,"other adjectives"
25,como,0,"other adjectives"
26,a,0,"other adjectives"
27,a,0,"other adjectives"
28,como,0,"other adjectives"
29,"en el",0,"other adjectives"
30,para,0,"other adjectives"
31,hombre,0,"personal adjectives"
32,pero,0,"other adjectives"
33,fuera,0,"other adjectives"
34,por,0,"other adjectives"
35,si,0,"other adjectives"
36,solo,0,"other adjectives"
37,estaba,0,"other adjectives"
38,todavia,0,"other adjectives"
39,volverse,0,"other verbs"
40,a,0,"other adjectives"
41,posee,0,"other verbs"
42,nosotros,0,"personal adjectives"
43,que,0,"other adjectives"
44,estan,0,"other verbs"
45,ser,0,"other verbs"
46,uno,0,"personal adjectives"
47,cual,0,"other adjectives"
48,delicioso,0,"eat and drink"
49,o,0,"other adjectives"
50,a,0,"personal adjectives"
51,tener,0,"other verbs"
52,alrededor,0,"other adjectives"
53,uno,0,"personal adjectives"
54,me,0,"personal adjectives"
55,estas,0,"personal adjectives"
56,sobre,0,"other adjectives"
57,el,0,"personal adjectives"
58,uno,0,"personal adjectives"
59,usted,0,"personal adjectives"
60,nosotros,0,"personal adjectives"
61,alli,0,"other adjectives"
62,hacia,0,"personal adjectives"
63,lata,0,"other verbs"
64,pero,0,"other adjectives"
65,alfrente,0,"other adjectives"
66,esto,0,"personal adjectives"
67,me,0,"personal adjectives"
68,el,0,"personal adjectives"
69,usted,0,"personal adjectives"
70,tendria,0,"other verbs"
71,su,0,"personal adjectives"
72,mas,0,"other adjectives"
73,"en el",0,"other adjectives"
74,porque,0,"other adjectives"
75,ellos,0,"personal adjectives"
76,su,0,"personal adjectives"
77,todas,0,"other adjectives"
78,"de nuevo",0,"other adjectives"
79,mi,0,"personal adjectives"
80,hora,0,time
81,"en contra",0,"other adjectives"
82,de,0,"personal adjectives"
83,todas,0,"other adjectives"
84,individual,0,"other adjectives"
85,donde,0,"other adjectives"
86,"tengo que",0,"other verbs"
87,sin,0,"other adjectives"
88,uno,0,numbers
89,lata,0,"other verbs"
90,ser,0,"other verbs"
91,si,0,phrases
