index,word,difficulty,category
1,il,0,"personal adjectives"
2,il,0,"personal adjectives"
3,il,0,"personal adjectives"
4,e,0,"other adjectives"
5,nel,0,"other adjectives"
6,per,0,"other adjectives"
7,il,0,"personal adjectives"
8,non,0,"other adjectives"
9,di,0,"other adjectives"
10,voi,0,"personal adjectives"
11,e,0,"other verbs"
12,di,0,"personal adjectives"
13,"te stesso",0,"personal adjectives"
14,con,0,"other adjectives"
15,il,0,"personal adjectives"
16,quella,0,"other adjectives"
17,lui,0,"personal adjectives"
18,esso,0,"personal adjectives"
19,un,0,"personal adjectives"
20,io,0,"personal adjectives"
21,sopra,0,"other adjectives"
22,cosi,0,"other adjectives"
23,un,0,"personal adjectives"
24,anche,0,"other adjectives"
25,come,0,"other adjectives"
26,a,0,"other adjectives"
27,per,0,"other adjectives"
28,come,0,"other adjectives"
29,nel,0,"other adjectives"
30,per,0,"other adjectives"
31,uomo,0,"personal adjectives"
32,ma,0,"other adjectives"
33,su,0,"other adjectives"
34,di,0,"other adjectives"
35,se,0,"other adjectives"
36,appena,0,"other adjectives"
37,era,0,"other adjectives"
38,ancorna,0,"other adjectives"
39,diventare,0,"other verbs"
40,a,0,"other adjectives"
41,ha,0,"other verbs"
42,noi,0,"personal adjectives"
43,"che cosa",0,"other adjectives"
44,siamo,0,"other verbs"
45,essere,0,"other verbs"
46,uno,0,"personal adjectives"
47,quale,0,"other adjectives"
48,delizioso,0,"eat and drink"
49,o,0,"other adjectives"
50,per,0,"personal adjectives"
51,avere,0,"other verbs"
52,"in giro",0,"other adjectives"
53,uno,0,"personal adjectives"
54,me,0,"personal adjectives"
55,questi,0,"personal adjectives"
56,sopra,0,"other adjectives"
57,lui,0,"personal adjectives"
58,uno,0,"personal adjectives"
59,voi,0,"personal adjectives"
60,noi,0,"personal adjectives"
61,la,0,"other adjectives"
62,al,0,"personal adjectives"
63,puo,0,"other verbs"
64,ma,0,"other adjectives"
65,davanti,0,"other adjectives"
66,questo,0,"personal adjectives"
67,me,0,"personal adjectives"
68,lui,0,"personal adjectives"
69,voi,0,"personal adjectives"
70,avrebbe,0,"other verbs"
71,"il suo",0,"personal adjectives"
72,"si piu",0,"other adjectives"
73,al,0,"other adjectives"
74,perche,0,"other adjectives"
75,loro,0,"personal adjectives"
76,"il suo",0,"personal adjectives"
77,tutti,0,"other adjectives"
78,ancora,0,"other adjectives"
79,mio,0,"personal adjectives"
80,tempo,0,time
81,contro,0,"other adjectives"
82,"a partire dal",0,"personal adjectives"
83,tutti,0,"other adjectives"
84,individuale,0,"other adjectives"
85,dove,0,"other adjectives"
86,devo,0,"other verbs"
87,senza,0,"other adjectives"
88,uno,0,numbers
89,puo,0,"other verbs"
90,essere,0,"other verbs"
91,si,0,phrases
92,"e stato",0,"other verbs"
93,adesso,0,time
94,sempre,0,"other adjectives"
95,"il suo",0,"personal adjectives"
96,bene,0,"other adjectives"
97,questo,0,"personal adjectives"
98,loro,0,"personal adjectives"
99,voluto,0,"other verbs"
100,questo,0,"personal adjectives"
101,piuttosto,0,"other adjectives"
102,perche,0,"other adjectives"
103,quale,0,"personal adjectives"
104,niente,0,"other adjectives"
105,questo,0,"personal adjectives"
106,"qualunque cosa",0,"other adjectives"
107,erano,0,"other verbs"
108,volere,0,"other verbs"
109,Sig,0,"humans and animals"
110,tanto,0,"other adjectives"
111,mio,0,"personal adjectives"
112,cosi,0,"other adjectives"
113,dovrebbero,0,"other verbs"
114,stato,0,"other verbs"
115,lasciare,0,"other verbs"
116,questo,0,"other adjectives"
117,fare,0,"other verbs"
118,"del loro",0,"other adjectives"
119,ulteriore,0,"other adjectives"
120,vita,0,"other Nouns"
121,legge,0,"other adjectives"
122,qualcosa,0,"other adjectives"
123,no,0,"other adjectives"
124,"il suo",0,"personal adjectives"
125,se,0,"other adjectives"
126,"a te",0,"personal adjectives"
127,tutti,0,"personal adjectives"
128,"piu grande",0,"other adjectives"
129,anni,1,time
130,saggio,0,"other nouns"
131,dovere,0,"other verbs"
132,quale,0,"personal adjectives"
133,voluto,0,"other verbs"
134,primo,0,"other adjectives"
135,"una volta",0,"other adjectives"
136,uomo,0,"humans and animals"
137,avrebbe,0,"other verbs"
138,due,0,numbers
139,voi,0,"personal adjectives"
140,solo,0,"other adjectives"
141,uno,0,numbers
142,tre,0,numbers
143,quattro,0,numbers
144,cinque,0,numbers
145,sesto,0,numbers
146,sette,0,numbers
147,otto,0,numbers
148,nove,0,numbers
149,dieci,0,numbers
150,undici7,1,numbers
151,tredici,1,numbers
152,dodici,1,numbers
153,venti,1,numbers
154,ventuno,1,numbers
155,trenta,1,numbers
156,quaranta,1,numbers
157,cinquanta,1,numbers
158,sessanta,1,numbers
159,settanta,1,numbers
160,ottanta,1,numbers
161,novanta,1,numbers
162,centinaio,1,numbers
163,duecento,1,numbers
164,mille,1,numbers
165,millioni,1,numbers
166,zero,1,numbers
167,meno,1,numbers
168,piu,1,numbers
169,volte,1,numbers
170,quando,0,time
171,uomini,1,"humans and animals"
172,mentre,0,"other adjectives"
173,paragrafo,1,"other Nouns"
174,diverso,0,"other adjectives"
175,amore,0,emotions
176,no,0,"other adjectives"
177,"in modo da",0,"other adjectives"
178,volentieri,0,"other adjectives"
179,affatto,0,"other adjectives"
180,mano,0,"humans and animals"
181,Sig,1,"humans and animals"
182,"a te",0,"personal adjectives"
