index,word,difficulty,category
1,de,0,"personal adjectives"
2,de,0,"personal adjectives"
3,de,0,"personal adjectives"
4,och,0,"other adjectives"
5,i,0,"other adjectives"
6,till,0,"other adjectives"
7,de,0,"personal adjectives"
8,inte,0,"other adjectives"
9,av,0,"other adjectives"
10,du,0,"personal adjectives"
11,Ã¤r,0,"other verbs"
12,av,0,"personal adjectives"
13,sjÃ¤lv,0,"personal adjectives"
14,med,0,"other adjectives"
15,de,0,"personal adjectives"
16,"det Ã¤r",0,"other adjectives"
17,han,0,"personal adjectives"
18,det,0,"personal adjectives"
19,a,0,"personal adjectives"
20,jag,0,"personal adjectives"
21,pa,0,"other adjectives"
22,sa,0,"other adjectives"
23,a,0,"personal adjectives"
24,ocksa,0,"other adjectives"
25,som,0,"other adjectives"
26,pa,0,"other adjectives"
27,till,0,"other adjectives"
28,hur,0,"other adjectives"
29,i,0,"other adjectives"
30,fÃ¶r,0,"other adjectives"
31,man,0,"personal adjectives"
32,men,0,"other adjectives"
33,ut,0,"other adjectives"
34,fÃ¶rbi,0,"other adjectives"
35,om,0,"other adjectives"
36,bara,0,"other adjectives"
37,var,0,"other adjectives"
38,fortfarande,0,"other adjectives"
39,bli,0,"other verbs"
40,pa,0,"other adjectives"
41,har,0,"other verbs"
42,vi,0,"personal adjectives"
43,vad,0,"other adjectives"
44,Ã¤r,0,"other verbs"
45,vara,0,"other verbs"
46,ett,0,"personal adjectives"
47,som,0,"other adjectives"
48,utsÃ¶kt,0,"eat and drink"
49,eller,0,"other adjectives"
50,till,0,"personal adjectives"
51,"att ha",0,"other verbs"
52,"runt omkring",0,"other adjectives"
53,ett,0,"personal adjectives"
54,mig,0,"personal adjectives"
55,dessa,0,"personal adjectives"
56,ovan,0,"other adjectives"
57,honom,0,"personal adjectives"
58,ett,0,"personal adjectives"
59,du,0,"personal adjectives"
60,oss,0,"personal adjectives"
61,dÃ¤r,0,"other adjectives"
62,till,0,"personal adjectives"
63,burk,0,"other verbs"
64,men,0,"other adjectives"
65,framfÃ¶r,0,"other adjectives"
66,detta,0,"personal adjectives"
67,mig,0,"personal adjectives"
68,honom,0,"personal adjectives"
69,du,0,"personal adjectives"
70,"skulle ha",0,"other verbs"
71,hans,0,"personal adjectives"
72,mer,0,"other adjectives"
73,vid,0,"other adjectives"
74,"dÃ¤rfÃ¶r att",0,"other adjectives"
75,dem,0,"personal adjectives"
76,hans,0,"personal adjectives"
